date,user_id,user_persona,screen_time,sleep_hours,activity_type,activity_hours,peak_time,app,expense,category,mood,productivity_score,day_type
2025-12-12,1,night_owl_freelancer,12.3,3.9,rest,2.3,11 PM,YouTube,1649,Entertainment,Stressed,1,Weekday
2025-12-13,1,night_owl_freelancer,9.5,4.4,social,1.6,2 AM,Telegram,3883,Entertainment,Stressed,2,Weekend
2025-12-14,1,night_owl_freelancer,11.3,4.0,social,2.1,11 PM,YouTube,5660,Food,Neutral,5,Weekend
2025-12-15,1,night_owl_freelancer,12.2,4.3,rest,1.8,1 AM,Instagram,3958,Shopping,Neutral,3,Weekday
2025-12-16,1,night_owl_freelancer,13.4,3.8,social,3.5,2 AM,Telegram,1963,Shopping,Stressed,1,Weekday
2025-12-17,1,night_owl_freelancer,13.3,5.1,rest,1.2,1 AM,Instagram,2895,Food,Stressed,3,Weekday
2025-12-18,1,night_owl_freelancer,11.4,4.9,rest,1.1,12 AM,Instagram,2965,Entertainment,Stressed,2,Weekday
2025-12-19,1,night_owl_freelancer,10.0,4.2,rest,1.9,12 AM,Instagram,1214,Food,Stressed,3,Weekday
2025-12-20,1,night_owl_freelancer,11.5,4.9,rest,1.8,12 AM,YouTube,2753,Entertainment,Stressed,3,Weekend
2025-12-21,1,night_owl_freelancer,10.9,4.0,social,4.3,12 AM,Telegram,3560,Entertainment,Stressed,3,Weekend
2025-12-22,1,night_owl_freelancer,7.1,4.8,rest,1.3,11 PM,YouTube,1654,Entertainment,Stressed,1,Weekday
2025-12-23,1,night_owl_freelancer,9.6,4.9,work,4.0,12 AM,Instagram,1226,Food,Neutral,5,Weekday
2025-12-24,1,night_owl_freelancer,10.4,4.9,exercise,0.6,12 AM,Instagram,833,Shopping,Stressed,1,Weekday
2025-12-25,1,night_owl_freelancer,6.8,3.7,rest,2.1,9 PM,Telegram,678,Food,Stressed,2,Weekday
2025-12-26,1,night_owl_freelancer,7.4,4.9,work,6.9,1 AM,Instagram,1564,Entertainment,Neutral,4,Weekday
2025-12-27,1,night_owl_freelancer,9.2,4.6,rest,1.1,12 AM,YouTube,3271,Shopping,Neutral,3,Weekend
2025-12-28,1,night_owl_freelancer,10.9,4.0,rest,1.2,12 AM,YouTube,4601,Shopping,Stressed,1,Weekend
2025-12-29,1,night_owl_freelancer,8.3,4.7,work,3.6,9 PM,YouTube,1472,Entertainment,Neutral,6,Weekday
2025-12-30,1,night_owl_freelancer,8.2,4.8,rest,1.4,1 AM,Instagram,1377,Shopping,Stressed,3,Weekday
2025-12-31,1,night_owl_freelancer,8.4,3.5,rest,1.2,10 PM,Telegram,1189,Food,Stressed,2,Weekday
2026-01-01,1,night_owl_freelancer,6.6,4.9,work,2.6,1 AM,Telegram,3009,Bills,Stressed,1,Weekday
2026-01-02,1,night_owl_freelancer,7.7,4.5,exercise,1.3,10 PM,Instagram,1315,Food,Stressed,2,Weekday
2026-01-03,1,night_owl_freelancer,12.0,4.5,work,2.3,1 AM,Instagram,3281,Food,Stressed,1,Weekend
2026-01-04,1,night_owl_freelancer,10.6,4.5,rest,3.0,12 AM,YouTube,3322,Food,Stressed,3,Weekend
2026-01-05,1,night_owl_freelancer,7.0,5.0,work,3.0,11 PM,Instagram,3011,Food,Neutral,3,Weekday
2026-01-06,1,night_owl_freelancer,7.7,4.7,rest,1.5,12 AM,YouTube,1030,Shopping,Stressed,3,Weekday
2026-01-07,1,night_owl_freelancer,9.6,4.2,rest,2.7,11 PM,YouTube,830,Food,Stressed,3,Weekday
2026-01-08,1,night_owl_freelancer,7.7,4.7,rest,2.0,11 PM,Instagram,965,Shopping,Stressed,2,Weekday
2026-01-09,1,night_owl_freelancer,8.7,4.7,exercise,1.1,1 AM,YouTube,1536,Food,Neutral,5,Weekday
2026-01-10,1,night_owl_freelancer,10.0,4.3,rest,2.3,2 AM,Telegram,3755,Food,Stressed,3,Weekend
2026-01-11,1,night_owl_freelancer,11.1,4.4,rest,2.2,2 AM,YouTube,2590,Shopping,Stressed,3,Weekend
2026-01-12,1,night_owl_freelancer,7.3,4.3,rest,1.1,12 AM,YouTube,1747,Shopping,Stressed,2,Weekday
2026-01-13,1,night_owl_freelancer,7.9,4.7,work,3.3,12 AM,Instagram,1127,Shopping,Stressed,3,Weekday
2026-01-14,1,night_owl_freelancer,2.4,7.2,exercise,1.2,10 PM,YouTube,398,Education,Happy,7,Weekday
2026-01-15,1,night_owl_freelancer,3.3,6.7,exercise,1.6,10 PM,Instagram,341,Health,Happy,7,Weekday
2026-01-16,1,night_owl_freelancer,3.3,6.8,exercise,1.3,9 PM,YouTube,392,Food,Neutral,5,Weekday
2026-01-17,1,night_owl_freelancer,3.0,6.3,work,2.9,9 PM,Instagram,183,Education,Stressed,3,Weekend
2026-01-18,1,night_owl_freelancer,2.4,6.4,study,4.1,9 PM,Instagram,217,Health,Stressed,5,Weekend
2026-01-19,1,night_owl_freelancer,2.9,7.2,work,7.6,9 PM,Telegram,340,Health,Happy,9,Weekday
2026-01-20,1,night_owl_freelancer,3.2,6.7,exercise,0.9,10 PM,Instagram,216,Education,Neutral,5,Weekday
2026-01-21,1,night_owl_freelancer,1.5,7.3,work,8.3,10 PM,YouTube,366,Food,Happy,9,Weekday
2026-01-22,1,night_owl_freelancer,3.2,7.6,exercise,1.6,9 PM,Telegram,415,Health,Neutral,4,Weekday
2026-01-23,1,night_owl_freelancer,7.6,4.7,work,2.2,1 AM,Telegram,1482,Shopping,Stressed,1,Weekday
2026-01-24,1,night_owl_freelancer,12.5,4.5,rest,2.7,1 AM,YouTube,2671,Food,Stressed,2,Weekend
2026-01-25,1,night_owl_freelancer,10.3,4.5,rest,3.2,2 AM,Instagram,3800,Entertainment,Stressed,3,Weekend
2026-01-26,1,night_owl_freelancer,10.0,4.0,work,4.5,11 PM,YouTube,1714,Shopping,Stressed,1,Weekday
2026-01-27,1,night_owl_freelancer,9.5,4.8,rest,1.8,12 AM,YouTube,1245,Shopping,Neutral,5,Weekday
2026-01-28,1,night_owl_freelancer,7.6,4.1,work,2.6,12 AM,YouTube,1326,Food,Stressed,1,Weekday
2026-01-29,1,night_owl_freelancer,8.1,3.7,work,3.5,10 PM,Instagram,1370,Entertainment,Stressed,1,Weekday
2026-01-30,1,night_owl_freelancer,8.3,4.4,exercise,0.6,10 PM,YouTube,993,Shopping,Stressed,3,Weekday
2026-01-31,1,night_owl_freelancer,11.4,4.6,social,2.5,2 AM,YouTube,4003,Food,Stressed,3,Weekend
2026-02-01,1,night_owl_freelancer,12.5,4.4,social,3.0,1 AM,Instagram,9186,Shopping,Stressed,2,Weekend
2026-02-02,1,night_owl_freelancer,10.2,4.5,rest,3.2,2 AM,YouTube,1216,Food,Stressed,2,Weekday
2026-02-03,1,night_owl_freelancer,10.0,4.2,social,4.4,1 AM,Telegram,1025,Shopping,Stressed,2,Weekday
2026-02-04,1,night_owl_freelancer,8.9,3.9,rest,1.1,11 PM,Instagram,1034,Food,Stressed,2,Weekday
2026-02-05,1,night_owl_freelancer,8.7,5.0,social,3.6,11 PM,Instagram,1352,Food,Stressed,2,Weekday
2026-02-06,1,night_owl_freelancer,8.6,3.7,rest,2.8,12 AM,YouTube,1345,Food,Stressed,3,Weekday
2026-02-07,1,night_owl_freelancer,10.4,4.2,social,3.4,11 PM,Telegram,2136,Food,Stressed,2,Weekend
2026-02-08,1,night_owl_freelancer,10.6,5.0,rest,2.6,12 AM,Telegram,3248,Shopping,Stressed,2,Weekend
2026-02-09,1,night_owl_freelancer,7.6,4.6,exercise,1.1,10 PM,Telegram,1773,Shopping,Stressed,1,Weekday
2026-02-10,1,night_owl_freelancer,7.1,4.8,work,3.4,10 PM,Instagram,1327,Shopping,Stressed,3,Weekday
2026-02-11,1,night_owl_freelancer,8.8,4.3,exercise,0.6,12 AM,YouTube,1019,Shopping,Neutral,3,Weekday
2026-02-12,1,night_owl_freelancer,7.1,4.7,rest,2.1,9 PM,Instagram,1421,Shopping,Stressed,3,Weekday
2026-02-13,1,night_owl_freelancer,8.5,5.2,work,2.9,10 PM,Instagram,1834,Shopping,Stressed,4,Weekday
2026-02-14,1,night_owl_freelancer,11.8,4.1,rest,1.8,1 AM,YouTube,2622,Entertainment,Stressed,3,Weekend
2026-02-15,1,night_owl_freelancer,11.7,4.3,rest,1.1,12 AM,Instagram,4565,Food,Neutral,6,Weekend
2026-02-16,1,night_owl_freelancer,10.6,4.0,rest,1.4,11 PM,Instagram,2732,Food,Neutral,4,Weekday
2026-02-17,1,night_owl_freelancer,10.5,4.8,rest,3.3,11 PM,Instagram,2473,Shopping,Stressed,3,Weekday
2026-02-18,1,night_owl_freelancer,10.1,4.2,social,4.3,12 AM,Telegram,1477,Food,Stressed,1,Weekday
2026-02-19,1,night_owl_freelancer,12.2,4.1,social,1.6,1 AM,Instagram,2344,Food,Stressed,1,Weekday
2026-02-20,1,night_owl_freelancer,11.7,5.1,rest,2.3,12 AM,Instagram,1586,Food,Neutral,6,Weekday
2026-02-21,1,night_owl_freelancer,11.6,4.8,rest,2.9,12 AM,Telegram,2946,Food,Neutral,3,Weekend
2026-02-22,1,night_owl_freelancer,12.2,4.6,social,2.1,12 AM,YouTube,2577,Shopping,Neutral,6,Weekend
2026-02-23,1,night_owl_freelancer,12.8,4.0,rest,1.6,12 AM,Instagram,1849,Shopping,Stressed,1,Weekday
2026-02-24,1,night_owl_freelancer,10.3,4.1,rest,1.9,12 AM,Instagram,1584,Entertainment,Stressed,3,Weekday
2026-02-25,1,night_owl_freelancer,11.2,5.0,social,1.8,12 AM,YouTube,1782,Shopping,Stressed,3,Weekday
2026-02-26,1,night_owl_freelancer,7.6,4.7,exercise,0.8,10 PM,YouTube,1500,Food,Neutral,4,Weekday
2026-02-27,1,night_owl_freelancer,8.2,5.5,work,4.1,11 PM,Instagram,1296,Food,Stressed,4,Weekday
2026-02-28,1,night_owl_freelancer,10.8,4.1,rest,1.3,2 AM,YouTube,3281,Entertainment,Neutral,6,Weekend
2026-03-01,1,night_owl_freelancer,9.3,4.7,rest,1.2,12 AM,Telegram,16310,Shopping,Stressed,3,Weekend
2026-03-02,1,night_owl_freelancer,8.4,3.5,social,3.6,9 PM,Instagram,1609,Food,Stressed,2,Weekday
2026-03-03,1,night_owl_freelancer,8.0,4.5,social,1.5,11 PM,Instagram,1712,Food,Stressed,1,Weekday
2026-03-04,1,night_owl_freelancer,10.0,4.3,rest,1.5,1 AM,Telegram,1277,Entertainment,Stressed,2,Weekday
2026-03-05,1,night_owl_freelancer,8.0,5.0,rest,2.3,10 PM,YouTube,926,Shopping,Neutral,6,Weekday
2026-03-06,1,night_owl_freelancer,7.0,4.8,social,1.8,9 PM,Instagram,1178,Entertainment,Stressed,1,Weekday
2026-03-07,1,night_owl_freelancer,10.2,4.3,exercise,1.3,11 PM,Instagram,2965,Shopping,Stressed,1,Weekend
2026-03-08,1,night_owl_freelancer,12.4,4.2,rest,1.4,2 AM,YouTube,4361,Entertainment,Stressed,1,Weekend
2026-03-09,1,night_owl_freelancer,7.9,4.2,work,4.5,1 AM,YouTube,958,Food,Stressed,1,Weekday
2026-03-10,1,night_owl_freelancer,9.5,4.0,work,4.3,12 AM,Instagram,1843,Shopping,Stressed,2,Weekday
2026-03-11,1,night_owl_freelancer,9.9,4.5,rest,2.3,12 AM,Instagram,1087,Shopping,Stressed,3,Weekday
2026-03-12,1,night_owl_freelancer,2.2,6.8,exercise,1.6,10 PM,Instagram,125,Food,Happy,7,Weekday
2026-03-13,1,night_owl_freelancer,2.5,6.6,study,2.6,9 PM,Telegram,379,Health,Happy,8,Weekday
2026-03-14,1,night_owl_freelancer,3.5,7.7,exercise,1.2,10 PM,YouTube,431,Education,Happy,7,Weekend
2026-03-15,1,night_owl_freelancer,2.2,6.5,exercise,1.2,9 PM,Telegram,196,Health,Happy,10,Weekend
2026-03-16,1,night_owl_freelancer,2.2,6.7,exercise,1.3,9 PM,YouTube,253,Education,Happy,9,Weekday
2026-03-17,1,night_owl_freelancer,3.3,6.5,exercise,1.2,9 PM,YouTube,220,Education,Neutral,5,Weekday
2026-03-18,1,night_owl_freelancer,2.8,6.8,study,2.2,10 PM,Telegram,246,Food,Neutral,5,Weekday
2026-03-19,1,night_owl_freelancer,2.4,6.7,work,6.6,10 PM,YouTube,229,Education,Happy,8,Weekday
2026-03-20,1,night_owl_freelancer,2.0,7.6,exercise,0.8,10 PM,Instagram,218,Food,Happy,10,Weekday
2026-03-21,1,night_owl_freelancer,10.9,5.0,work,5.8,1 AM,Instagram,3202,Food,Neutral,5,Weekend
2026-03-22,1,night_owl_freelancer,10.9,4.5,rest,2.5,12 AM,Instagram,4336,Entertainment,Stressed,1,Weekend
2026-03-23,1,night_owl_freelancer,9.0,4.9,work,2.9,9 PM,YouTube,1110,Shopping,Neutral,6,Weekday
2026-03-24,1,night_owl_freelancer,6.8,4.6,social,4.4,11 PM,YouTube,752,Entertainment,Stressed,2,Weekday
2026-03-25,1,night_owl_freelancer,9.5,4.0,rest,1.7,2 AM,Instagram,836,Food,Stressed,2,Weekday
2026-03-26,1,night_owl_freelancer,7.5,4.2,work,3.9,12 AM,Instagram,1362,Shopping,Neutral,4,Weekday
2026-03-27,1,night_owl_freelancer,7.0,4.0,exercise,1.1,11 PM,Telegram,873,Food,Neutral,6,Weekday
2026-03-28,1,night_owl_freelancer,11.1,4.9,rest,1.6,12 AM,YouTube,3305,Food,Stressed,2,Weekend
2026-03-29,1,night_owl_freelancer,12.0,4.5,rest,3.3,2 AM,Telegram,2733,Shopping,Stressed,2,Weekend
2025-10-01,2,disciplined_professional,4.6,6.6,work,6.5,9 PM,LinkedIn,1515,Shopping,Happy,9,Weekday
2025-10-02,2,disciplined_professional,4.2,6.7,work,4.7,9 PM,LinkedIn,365,Bills,Neutral,4,Weekday
2025-10-03,2,disciplined_professional,4.4,6.0,exercise,1.7,9 PM,YouTube,743,Food,Neutral,4,Weekday
2025-10-04,2,disciplined_professional,9.1,4.5,exercise,0.9,12 AM,LinkedIn,2608,Food,Stressed,1,Weekend
2025-10-05,2,disciplined_professional,9.4,4.7,exercise,1.6,2 AM,LinkedIn,2890,Food,Neutral,4,Weekend
2025-10-06,2,disciplined_professional,6.7,5.7,rest,1.7,7 PM,YouTube,344,Health,Stressed,1,Weekday
2025-10-07,2,disciplined_professional,4.2,6.0,exercise,1.7,10 PM,YouTube,526,Food,Neutral,6,Weekday
2025-10-08,2,disciplined_professional,3.7,6.1,exercise,1.8,8 PM,YouTube,2829,Food,Neutral,4,Weekday
2025-10-09,2,disciplined_professional,4.7,6.3,work,7.4,7 PM,LinkedIn,477,Travel,Neutral,5,Weekday
2025-10-10,2,disciplined_professional,5.0,5.6,work,8.0,7 PM,LinkedIn,659,Food,Happy,4,Weekday
2025-10-11,2,disciplined_professional,8.3,5.8,social,4.1,8 PM,YouTube,1047,Travel,Neutral,4,Weekend
2025-10-12,2,disciplined_professional,6.1,5.6,exercise,1.4,8 PM,WhatsApp,2336,Food,Happy,5,Weekend
2025-10-13,2,disciplined_professional,4.8,6.1,work,7.0,10 PM,Chrome,360,Bills,Neutral,4,Weekday
2025-10-14,2,disciplined_professional,5.0,6.1,work,7.6,7 PM,LinkedIn,584,Food,Neutral,6,Weekday
2025-10-15,2,disciplined_professional,5.0,5.6,exercise,0.6,10 PM,WhatsApp,1693,Health,Neutral,5,Weekday
2025-10-16,2,disciplined_professional,3.4,5.6,study,0.5,9 PM,LinkedIn,1606,Bills,Stressed,5,Weekday
2025-10-17,2,disciplined_professional,4.0,5.6,study,1.0,8 PM,YouTube,2717,Food,Neutral,5,Weekday
2025-10-18,2,disciplined_professional,9.4,5.1,exercise,1.7,2 AM,Chrome,3630,Travel,Neutral,4,Weekend
2025-10-19,2,disciplined_professional,8.8,5.7,exercise,1.6,10 PM,Chrome,1703,Food,Neutral,4,Weekend
2025-10-20,2,disciplined_professional,4.6,6.3,exercise,1.5,9 PM,WhatsApp,420,Food,Stressed,2,Weekday
2025-10-21,2,disciplined_professional,3.0,5.5,work,5.5,8 PM,LinkedIn,640,Food,Neutral,5,Weekday
2025-10-22,2,disciplined_professional,3.7,5.5,exercise,0.6,8 PM,LinkedIn,690,Health,Happy,7,Weekday
2025-10-23,2,disciplined_professional,3.7,6.7,work,6.1,8 PM,LinkedIn,686,Travel,Happy,9,Weekday
2025-10-24,2,disciplined_professional,4.2,5.8,work,5.4,10 PM,YouTube,2806,Health,Happy,9,Weekday
2025-10-25,2,disciplined_professional,7.3,6.4,social,2.3,9 PM,YouTube,901,Food,Happy,3,Weekend
2025-10-26,2,disciplined_professional,7.9,7.0,exercise,0.6,8 PM,Chrome,2731,Food,Happy,5,Weekend
2025-10-27,2,disciplined_professional,4.3,6.0,exercise,1.6,7 PM,LinkedIn,347,Bills,Neutral,6,Weekday
2025-10-28,2,disciplined_professional,3.1,6.5,study,1.4,7 PM,YouTube,1965,Food,Happy,8,Weekday
2025-10-29,2,disciplined_professional,5.2,6.6,exercise,1.5,7 PM,LinkedIn,2127,Health,Neutral,3,Weekday
2025-10-30,2,disciplined_professional,4.4,6.9,exercise,1.6,9 PM,LinkedIn,459,Health,Neutral,5,Weekday
2025-10-31,2,disciplined_professional,3.0,6.1,exercise,0.5,8 PM,Chrome,708,Bills,Neutral,3,Weekday
2025-11-01,2,disciplined_professional,8.9,6.3,exercise,1.2,10 PM,Chrome,6617,Bills,Neutral,5,Weekend
2025-11-02,2,disciplined_professional,7.1,6.3,rest,2.0,9 PM,YouTube,2398,Health,Neutral,3,Weekend
2025-11-03,2,disciplined_professional,9.7,4.8,rest,2.3,11 PM,LinkedIn,2604,Food,Neutral,4,Weekday
2025-11-04,2,disciplined_professional,12.8,5.0,rest,2.3,12 AM,Chrome,1642,Food,Stressed,2,Weekday
2025-11-05,2,disciplined_professional,12.0,4.2,rest,3.1,12 AM,YouTube,1242,Food,Stressed,2,Weekday
2025-11-06,2,disciplined_professional,11.0,4.3,rest,2.5,12 AM,LinkedIn,2406,Shopping,Neutral,5,Weekday
2025-11-07,2,disciplined_professional,10.8,4.4,rest,1.3,1 AM,WhatsApp,1670,Entertainment,Neutral,5,Weekday
2025-11-08,2,disciplined_professional,10.5,4.9,rest,1.7,12 AM,YouTube,4274,Food,Neutral,6,Weekend
2025-11-09,2,disciplined_professional,10.0,5.1,rest,1.3,2 AM,Chrome,2502,Shopping,Stressed,3,Weekend
2025-11-10,2,disciplined_professional,11.9,4.0,rest,3.2,12 AM,Chrome,1831,Shopping,Stressed,3,Weekday
2025-11-11,2,disciplined_professional,13.1,4.7,rest,2.5,12 AM,LinkedIn,2622,Food,Stressed,3,Weekday
